index,reaccion,correct,error,anger,sensation,emotional,sociability,motivacion
2,486,1,0,100,100,100,100,100
7,352,1,0,100,100,100,100,100
10,610,1,0,100,100,100,100,100
11,430,1,0,100,100,100,100,100
17,511,1,0,100,100,100,100,100
19,477,1,0,100,100,100,100,100
21,370,1,0,100,100,100,100,100
34,494,1,0,100,100,100,100,100
43,487,1,0,100,100,100,100,100
45,432,1,0,100,100,100,100,100
54,381,1,0,100,100,100,100,100
57,504,1,0,100,100,100,100,100
61,410,1,0,100,100,100,100,100
64,380,1,0,100,100,100,100,100
65,513,1,0,100,100,100,100,100
67,480,1,0,100,100,100,100,100
70,379,1,0,100,100,100,100,100
74,440,1,0,100,100,100,100,100
80,468,1,0,100,100,100,100,100
83,548,1,0,100,100,100,100,100
87,517,1,0,100,100,100,100,100
88,594,1,0,100,100,100,100,100
91,476,1,0,100,100,100,100,100
95,629,1,0,100,100,100,100,100
100,485,1,0,100,100,100,100,100
103,581,1,0,100,100,100,100,100
104,415,1,0,100,100,100,100,100
113,524,1,0,100,100,100,100,100
118,500,1,0,100,100,100,100,100
125,426,1,0,100,100,100,100,100
132,522,1,0,100,100,100,100,100
136,465,1,0,100,100,100,100,100
142,590,1,0,100,100,100,100,100
146,482,1,0,100,100,100,100,100
152,384,1,0,100,100,100,100,100
154,408,1,0,100,100,100,100,100
155,438,1,0,100,100,100,100,100
157,278,0,0,100,100,100,100,100
161,394,1,0,100,100,100,100,100
168,514,1,0,100,100,100,100,100
169,593,1,0,100,100,100,100,100
176,602,1,0,100,100,100,100,100
178,549,1,0,100,100,100,100,100
191,515,1,0,100,100,100,100,100
194,474,1,0,100,100,100,100,100
196,669,1,0,100,100,100,100,100
213,658,1,0,100,100,100,100,100
0,1458,0,0,100,100,100,100,100
1,1239,0,3,100,100,100,100,100
2,782,0,3,100,100,100,100,100
3,525,0,3,100,100,100,100,100
4,167,0,0,100,100,100,100,100
5,243,0,0,100,100,100,100,100
6,441,0,0,100,100,100,100,100
7,851,0,0,100,100,100,100,100
8,330,0,0,100,100,100,100,100
9,376,0,0,100,100,100,100,100
10,312,0,0,100,100,100,100,100
11,762,0,1,100,100,100,100,100
12,514,0,1,100,100,100,100,100
13,1238,0,1,100,100,100,100,100
14,246,0,0,100,100,100,100,100
7,384,1,0,20,40,49,45,50
8,661,1,0,20,40,49,45,50
7,384,1,0,20,40,49,45,50
8,661,1,0,20,40,49,45,50
